Institution_Name,Area,Other,Primary_Contact_Name,Primary_Contact_Phone_Number,Primary_Contact_Email,Mailing_Address,website,Secondary_Contact_Name,Secondary_Contact_Email,Social_Media_Handles,Zoom_Team_Link,Zoom_Teams_Link,Video_Link,special_needs_or_requests
Texas Medical and Dental Schools Application Service [Veterinary],"Dental,Medicine,Other (please specify):",Veterinary,Nichole Castillo,5124994785,ncastillo@tmdsas.com,"210 W 7th St, Austin, TX 78701",http://tmdsas.com/,Alanna Edwards,aedwards@tmdsas.com,@tmdsas; https://www.facebook.com/tmdsas,"Zoom or Teams Link (for your virtual tabling),Introductory Video Link",https://us02web.zoom.us/j/81415634051 ,Working on their video,
"Texas Primary Care Office [Dental, Medicine, Nursing, Pharmacy, Physician Assistant, Mental Health; Financial Assistance]","Dental,Medicine,Nursing,Pharmacy,Physician Assistant,Other (please specify):",Mental Health; Financial Assistance,Cindy Ellis,512-776-2127 (voicemail only),Cindy.Ellis@dshs.texas.gov,"1100 W 49th, MC 1898",https://www.dshs.state.tx.us/chpr/default.shtm,,,,,https://teams.microsoft.com/l/meetup-join/19%3ameeting_YzVhMDMwZWQtODA1My00MjJmLWJhY2YtNTBlNWYwMDA2NWE0%40thread.v2/0?context=%7b%22Tid%22%3a%229bf97732-82b9-499b-b16a-a93e8ebd536b%22%2c%22Oid%22%3a%22917fdbb9-b194-4048-accd-a20b382b9b73%22%7d,,"Need to use Teams, Agency is putting additional security in to place. Will send info later."
Texas Tech Army ROTC [All Health Professions],"Clinical Laboratory Science,Dental,Medicine,Nursing,Occupational Therapy,Optometry,Pharmacy,Physical Therapy,Physician Assistant,Speech, Language and Hearing Sciences,Other (please specify):",All Health Professions,Mr. George Hampton,806-834-5018,george.hampton@ttu.edu,3003 15th Street,"https""//www.depts.ttu.edu/armyrotc",Kelly Simpson,806-834-5018,https://www.facebook.com/TexasTechROTC,,,,N/A
Texas Tech University Career Center,Other (please specify):,Career Center,Dominique Massey,806-742-2210,dominique.massey@ttu.edu,"3211 18th Street, Lubbock, Texas, 79409",www.careercenter.ttu.edu,Carol Trigg,carol.trigg@ttu.edu,'@TTUCareers,,,,
"Texas Tech University Health Sciences Center, Graduate School of Biomedical Sciences",Other (please specify):,"Biomedical Sciences PhD, Biotechnology MS, Graduate Medical Education Sciences MS, Pharmaceutical Sciences MS and PhD, Public Health MPH and Certificate",Terri Lloyd,806-743-2556,terri.lloyd@ttuhsc.edu,"3601 4th St., STOP 6206",www.ttuhsc.edu/gsbs,Ashlee Rigsby,ashlee.rigsby@ttuhsc.edu,"Facebook: https://www.facebook.com/ttuhsc.gsbs
Twitter: https://twitter.com/TTUHSC_GSBS
Instagram: https://www.instagram.com/ttuhsc_gsbs/
LinkedIn: https://www.linkedin.com/school/ttuhsc-gsbs

","Zoom or Teams Link (for your virtual tabling),Introductory Video Link",https://ttuhscgsbs.zoom.us/j/98195818347?pwd=cFo1eng3TEM3SUxlWm1oUG5tRmxTQT09 ,https://promo.com/share/5f91acd4306cac398162d8db?utm_source=v1_shareDialog2_copy,
Texas Tech University School of Veterinary Medicine,Other (please specify):,DVM,Sarah Innis,8065843853,sarah.innis@ttu.edu,"7671 Evans Drive, Amarillo, Texas 79106",https://www.depts.ttu.edu/vetschool/,,,,Zoom or Teams Link (for your virtual tabling),https://zoom.us/j/91930367924,,
"The University of Texas MD Anderson Cancer Center [Diagnostic Imaging, Radiologic Science, Health Care Disparities]","Clinical Laboratory Science,Other (please specify):","Diagnostic Imaging, Radiologic Science, Health Care Disparities",Nghi Do,832-729-3461,nkdo@mdanderson.org,"1515 Holcombe Blvd, Unit 0002, Houston, TX 77030",mdanderson.org/SHP,,,facebook.com/mdandersonSHP ,"Zoom or Teams Link (for your virtual tabling),Introductory Video Link",https://mdacc.zoom.us/meeting/register/tZIvcuqoqDsjHNNjbx5UaiIYAbNnSoOeOciO,https://youtu.be/dRi6uP_CwmE,No
"TTU Dept. of Political Science, Master of Public Administration",Other (please specify):,Public Administration Master Program ,Raquel Gonzales ,8068344868,raquel.gonzales@ttu.edu,1011 Boston Ave. Holden Hall 112,https://www.depts.ttu.edu/politicalscience/mpa,,,"'@TTUPublicAdmin - Facebook 
@TTUPoliSci - Facebook & Twitter ",,,,
united states Air Force Health Professions  ,"Dental,Medicine,Nursing,Occupational Therapy,Optometry,Pharmacy,Physical Therapy,Physician Assistant",,TSgt Ashley Hicks ,7204027973,ashley.hicks@us.af.mil,5350 S roslyn st greenwood village CO 80111,Airforce.com,,,,,https://nam04.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.zoomgov.com%2Fj%2F16155673289&amp;data=04%7C01%7CAmy.Perez%40ttu.edu%7Ccecca26454974ca418ad08d8b28dffcf%7C178a51bf8b2049ffb65556245d5c173c%7C0%7C0%7C637455670282770028%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C1000&amp;sdata=i6fqITkTDtgT2eWF%2FsAIHCa6x3X3zJ%2F78W9%2FnSsbpCg%3D&amp;reserved=0,,NA
United States Navy Medicine,"Clinical Laboratory Science,Dental,Medicine,Nursing,Optometry,Pharmacy,Physical Therapy,Physician Assistant,Speech, Language and Hearing Sciences",,Lieutenant Richard Hearn,806-744-3944  Ext: 24,richard.hearn@navy.mil,"1126 Slide Road Suite 100, Lubbock, Texas, 79416",https://www.med.navy.mil/Pages/Accessions.aspx,Chief Craig Ward,craig.a.ward@navy.mil,,,https://nam04.safelinks.protection.outlook.com/?url=https%3A%2F%2Fzoom.us%2Fj%2F92584273143%3Fpwd%3DVVY3TVRGUWdpeDBLMDlPcGxoQ1dlZz09&amp;data=04%7C01%7CAmy.Perez%40ttu.edu%7C5aa68623dc194b2fd65808d8b8138f93%7C178a51bf8b2049ffb65556245d5c173c%7C0%7C0%7C637461741441074595%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C1000&amp;sdata=5xgJNr8iIj1YC65R5Nafc%2BlFIVTQj9%2Bb0t77uY06BdI%3D&amp;reserved=0<https://nam04.safelinks.protection.outlook.com/?url=https%3A%2F%2Fno-click.mil%2F%3Fhttps%3A%2F%2Fnam04.safelinks.protection.outlook.com%2F%3Furl%3Dhttps%253A%252F%252Fzoom.us%252Fj%252F92584273143%253Fpwd%253DVVY3TVRGUWdpeDBLMDlPcGxoQ1dlZz09%26amp%3Bdata%3D04%257C01%257CAmy.Perez%2540ttu.edu%257Ccbea67399bae4b15121208d8b72c04d9%257C178a51bf8b2049ffb65556245d5c173c%257C0%257C0%257C637460746990519594%257CUnknown%257CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%253D%257C1000%26amp%3Bsdata%3DFJGtVJOlmaqxDwmo4PyH7trniDJ%252BLEUhgTEhTSEDmVg%253D%26amp%3Breserved%3D0&amp;data=04%7C01%7CAmy.Perez%40ttu.edu%7C5aa68623dc194b2fd65808d8b8138f93%7C178a51bf8b2049ffb65556245d5c173c%7C0%7C0%7C637461741441074595%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C1000&amp;sdata=B3FvJUDR6CrAf3byU5KFMUQeCwmcwtb4UB4ldAj3760%3D&amp;reserved=0,,Zoom has a pw: 2UvkfR
"University of North Texas Health Science Center [Graduate School of Biomedical Science, Public Health]","Medicine, Graduate School of Biomedical Science, Pharmacy, Physical Therapy, Physician Assistant Studies, and Public Health",,Patrick Middleton,817-735-2226,patrick.middleton@unthsc.edu,"3500 Camp Bowie Blvd., SSC-180",www.unthsc.edu,Rebeca Perfecto,Rebeca.Perfecto@unthsc.edu,,,https://unthsc.zoom.us/j/86119521583,https://www.youtube.com/watch?v=4r2E6YE9D6o&feature=youtu.be,No
University of the Incarnate Word School of Osteopathic Medicine [Master of Biomedical Sciences],"Medicine,Other (please specify):",Master of Biomedical Sciences,Gilberto Hernandez,210.283.6995,giherna1@uiwtx.edu,"4301 Broadway, CPO 121, San Antonio, TX  78209",https://osteopathic-medicine.uiw.edu/,,,"https://www.facebook.com/uiwsom/, https://www.instagram.com/uiwsom/","Zoom or Teams Link (for your virtual tabling),Introductory Video Link",https://uiw-health.zoom.us/j/97796465111,https://www.youtube.com/watch?v=s40q_JNne-k&feature=emb_logo,
UT Health School of Biomedical Informatics ,Other (please specify):,Informatics,Jeanette Broshears,956-755-0678,Jeanette.L.Broshears@uth.tmc.edu,"7000 Fannin Street, Suite 600, Houston, TX 77030",http://SBMI.UTH.edu,Erica Unice,Erica.Unice@uth.tmc.edu,https://www.facebook.com/UTSBMI; @UTHealth_SBMI; uthealthsbmi; https://www.youtube.com/UTHealthSBMI,,,,
"UT Southwestern School of Health Professions [Clinical Nutrition, Prosthetics and Orthotics]","Physical Therapy,Physician Assistant,Other (please specify):","Clinical Nutrition, Prosthetics and Orthotics",Lona Sandon,2146481521,lona.sandon@utsouthwestern.edu,"5323 Harry Hines Blvd., Dallas, TX 7530-8877",https://www.utsouthwestern.edu/education/school-of-health-professions/,,,https://www.facebook.com/utsouthwesternschoolofhealthprofessions,Zoom or Teams Link (for your virtual tabling),https://teams.microsoft.com/l/meetup-join/19%3ameeting_OTkyNGQwM2MtNjA4Yy00YjUxLTk4MjQtMDM0ZmFhMjJiMWYw%40thread.v2/0?context=%7b%22Tid%22%3a%229d418695-71ac-4c31-b5b2-c196c8ec3c8a%22%2c%22Oid%22%3a%22e699bcaf-ac9f-4d4d-8d84-8ffffb91241e%22%7d,,
